file_year,category,rank,name,year,high_school,city_state,position,totalpoints,pointspergame,totaltdnum,fgmade,patkickingmade,safeties,gamesplayed
2018,"offense,scoring",347,Thorsten Balmer,Senior,Boulder City (NV),(NV),"RB, OLB",168,15.3,27,,,,11
2018,"offense,scoring",348,Tyrell Smith,Senior,"Sheldon (Sacramento, CA)","(Sacramento, CA)","RB, LB",168,15.3,28,,,,11
2018,"offense,scoring",349,TJ King,Sophomore,"Dallas Christian (Mesquite, TX)","(Mesquite, TX)","RB, WR",168,15.3,28,,,,11
2018,"offense,scoring",350,Caleb Lahey,Junior,"Bismarck-Henning/Rossville-Alvin (Bismarck, IL)","(Bismarck, IL)","RB, MLB",168,15.3,27,,,,11
2018,"offense,scoring",201,Darios Crawley-Reid,Senior,"Martin Luther (Greendale, WI)","(Greendale, WI)","RB, DB",192,27.4,32,,,,7
2018,"offense,scoring",202,Greg Turner,Senior,Smackover (AR),(AR),"RB, MLB",192,21.3,32,,,,9
2018,"offense,scoring",203,Jonas Larson,Senior,"Mountain View (Bend, OR)","(Bend, OR)","RB, SS",192,19.2,32,,,,10
2018,"offense,scoring",204,Lane Whisennand,Senior,Elkhart (KS),(KS),"QB, CB",192,19.2,30,,,,10
2018,"offense,scoring",205,Joshua Jones,Senior,Berwick (LA),(LA),"RB, CB",192,17.5,32,,,,11
2018,"offense,scoring",206,Damean Bivins,Senior,Pace (FL),(FL),"RB, ATH",192,17.5,32,,,,11
2018,"offense,scoring",207,Preston Johnson,Senior,West (TX),(TX),"WR, RB",192,16.0,32,,,,12
2018,"offense,scoring",208,Marcus Turner,Senior,Needles (CA),(CA),"RB, DB",192,16.0,30,,,,12
2018,"offense,scoring",209,Conner Carey,Senior,"Heritage Hall (Oklahoma City, OK)","(Oklahoma City, OK)","RB, SS",192,16.0,32,,,,12
2018,"offense,scoring",210,Chase Gilmore,Senior,Graham (TX),(TX),RB,192,16.0,32,,,,12
2018,"offense,scoring",211,Cameron Wirth,Senior,"Pewamo-Westphalia (Pewamo, MI)","(Pewamo, MI)","RB, OLB",192,16.0,32,,,,12
2018,"offense,scoring",212,Jakai Torres,Junior,"St. Bernard (Playa del Rey, CA)","(Playa del Rey, CA)","RB, MLB",192,16.0,32,,,,12
2018,"offense,scoring",213,Derrick Knoblock,Senior,"Damonte Ranch (Reno, NV)","(Reno, NV)","MLB, RB",192,14.8,32,,,,13
2018,"offense,scoring",214,Issac Sharp,Senior,Hilmar (CA),(CA),"TB, DB",192,13.7,32,,,,14
2018,"offense,scoring",215,Landry Gilpin,Senior,"Veterans Memorial (Mission, TX)","(Mission, TX)",QB,192,13.7,32,,,,14
2018,"offense,scoring",216,Lj Butler,Sophomore,"Wagner (San Antonio, TX)","(San Antonio, TX)","RB, QB",192,12.8,32,,,,15
2018,"offense,scoring",217,Bailey Small,Senior,"Fall River (McArthur, CA)","(McArthur, CA)","LB, RB",191,15.9,23,1,38,,12
2018,"offense,scoring",218,Kale Lawson,Senior,"Tri-County (Wolcott, IN)","(Wolcott, IN)","WR, CB",190,19.0,31,,0,,10
2018,"offense,scoring",219,Jasiah Purdie,Senior,Hasbrouck Heights (NJ),(NJ),"WR, RB",190,17.3,31,,,,11
2018,"offense,scoring",220,Kameron Harris-lusk,Senior,Fairview (TN),(TN),"WR, CB",190,14.6,31,,,,13
2018,"offense,scoring",221,Jourdan Townsend,Senior,Farrell (PA),(PA),"ATH, WR",190,12.7,30,,,,15
2018,"offense,scoring",222,Dillon Steward,Senior,"Washington (Washington Courthouse, OH)","(Washington Courthouse, OH)",ATH,189,18.9,29,0,5,,10
2018,"offense,scoring",223,Kitchel Gifford,Senior,"Western (Russiaville, IN)","(Russiaville, IN)","RB, OLB",188,18.8,31,,,,10
2018,"offense,scoring",224,Allamar Alexander,Senior,"Columbia (Nampa, ID)","(Nampa, ID)","RB, FS",188,17.1,31,,,0,11
2018,"offense,scoring",225,Tre Tucker,Senior,"Cuyahoga Valley Christian Academy (Cuyahoga Falls, OH)","(Cuyahoga Falls, OH)","WR, FS",188,17.1,31,,,,11
2018,"offense,scoring",226,"Zonovan ""bam"" Knight",Senior,"Southern Nash (Bailey, NC)","(Bailey, NC)","RB, CB",188,17.1,30,,,,11
